dataset_source,session_id,turn_id,user_query,ability_domain,task_type,query_style,followup_type,emotion_tone,expected_memory_decision,expected_scope_behavior,difficulty,notes,quality_flag,source_batch,label_source,confidence,manual_reviewed,active_sections,scope_pred,topic_overlap,context_sim,tv_distance
generated_sessions,S0007,2,這會影響他以後寫字嗎？,精細動作,J 學校合作,口語,跨時點詢問,焦慮,HYBRID,保留精細動作脈絡並連結未來學業能力,Medium,功能影響追問,OK,batch_S,gpt_initial_label,,,,,,,
generated_sessions,S0007,3,那現在可以用什麼訓練來改善？,精細動作,E 居家訓練,簡短追問,任務切換,積極,HYBRID,保留精細動作領域但轉向訓練任務,Low,任務切換,OK,batch_S,gpt_initial_label,,,,,,,
generated_sessions,S0007,4,還有「口腔動作」的部分也有問題嗎？,口腔動作,A 報告總覽,簡短追問,換主題,平穩,REFRESH,切換至口腔動作領域並重新檢索脈絡,Low,明確換領域,OK,batch_S,gpt_initial_label,,,,,,,
generated_sessions,S0008,1,醫生建議我們要報名早療，但我不知道該怎麼開始？,整體概況,G 是否需要早療,口語,無,焦慮,REFRESH,建立早療流程與介入必要性脈絡,Low,整體性諮詢,OK,batch_S,gpt_initial_label,,,,,,,
generated_sessions,S0008,2,政府有補助可以申請嗎？,整體概況,K 補助申請,簡短追問,外部任務,期待,REFRESH,切換至行政補助與政策資訊脈絡,Medium,換主題至行政業務,OK,batch_S,gpt_initial_label,,,,,,,
generated_sessions,S0008,3,那流程大概要走多久？,整體概況,L 後續追蹤,口語,程序詢問,焦慮,STAY,延續行政流程脈絡提供時程資訊,Low,程序性追問,OK,batch_S,gpt_initial_label,,,,,,,
generated_sessions,S0009,1,小朋友吞嚥好像有點困難，報告裡有提到嗎？,吞嚥功能,A 報告總覽,正式,無,憂心,REFRESH,建立吞嚥功能領域的檢索脈絡,Low,首輪開啟,OK,batch_S,gpt_initial_label,,,,,,,
generated_sessions,S0009,2,這跟他的口腔肌肉發育有關嗎？,口腔動作,C 臨床觀察,口語,因果追問,平穩,STAY,延續吞嚥脈絡並連結生理發展機制,Medium,深度追問成因,domain_normalized:吞嚥功能->口腔動作,batch_S,gpt_initial_label,,,,,,,
generated_sessions,S0009,3,那吃飯的時候要怎麼調整姿勢？,生活自理,F 融入日常,口語,任務切換,期待,HYBRID,保留吞嚥脈絡但切換至日常照護技巧,Medium,情境化建議,domain_normalized:吞嚥功能->生活自理,batch_S,gpt_initial_label,,,,,,,
generated_sessions,S0010,1,我看到小孩的「口語理解」比「口語表達」好很多，這正常嗎？,口語理解,D 能力剖面,正式,無,困惑,REFRESH,建立語言理解與表達的剖面比較脈絡,Medium,能力差異詢問,OK,batch_S,gpt_initial_label,,,,,,,
generated_sessions,S0010,2,為什麼會落差這麼大？,口語理解,D 能力剖面,簡短追問,深度追問,焦慮,STAY,延續語言能力差異的成因解釋,Low,針對差異追問,OK,batch_S,gpt_initial_label,,,,,,,
generated_sessions,S0010,3,這樣的話要先加強哪一個？,口語表達,N 進步查詢,口語,優先順序,求助,HYBRID,保留語言大框架但切換至介入優先順序,Medium,決策導向追問,OK,batch_S,gpt_initial_label,,,,,,,
generated_sessions,S0011,1,報告上寫「疑似發展遲緩」，這就是確定遲緩了嗎？,整體概況,B 分數解讀,口語,無,焦慮,REFRESH,建立診斷名詞與醫學定義脈絡,Low,名詞澄清,OK,batch_S,gpt_initial_label,,,,,,,
generated_sessions,S0011,2,如果現在開始做早療，多久會好？,整體概況,N 進步查詢,口語,預後詢問,期待,HYBRID,延續整體現況並切換至療效預期任務,High,難以量化的時間問題,OK,batch_S,gpt_initial_label,,,,,,,
generated_sessions,S0011,3,那我要怎麼跟家裡長輩解釋這份報告？,整體概況,I 隱私分享,口語,溝通任務,焦慮,REFRESH,切換至家庭溝通與隱私分享策略,Medium,換主題至家庭互動,OK,batch_S,gpt_initial_label,,,,,,,
generated_sessions,S0012,1,老師，報告書裡提到「粗大動作」的平衡感不好。,粗大動作,C 臨床觀察,正式,無,平穩,REFRESH,建立粗大動作及平衡感檢索脈絡,Low,首輪開啟,OK,batch_S,gpt_initial_label,,,,,,,
generated_sessions,S0012,2,那他走路常跌倒就是因為這個？,粗大動作,C 臨床觀察,口語,行為連結,平穩,STAY,延續粗大動作脈絡並連結個案具體現象,Low,行為驗證,OK,batch_S,gpt_initial_label,,,,,,,
generated_sessions,S0012,3,如果去公園玩溜滑梯有幫助嗎？,粗大動作,F 融入日常,口語,情境詢問,積極,HYBRID,保留粗大動作領域並切換至生活情境建議,Medium,轉向日常活動建議,OK,batch_S,gpt_initial_label,,,,,,,
generated_sessions,S0013,1,我想問一下，小孩的「精細動作」說他拿筆姿勢不對。,精細動作,C 臨床觀察,口語,無,困惑,REFRESH,建立精細動作與工具使用脈絡,Low,首輪開啟,OK,batch_S,gpt_initial_label,,,,,,,
generated_sessions,S0013,2,這跟他的手部小肌肉力氣有關嗎？,精細動作,C 臨床觀察,口語,深度追問,平穩,STAY,延續精細動作脈絡解釋生理因素,Low,成因探討,OK,batch_S,gpt_initial_label,,,,,,,
generated_sessions,S0013,3,有什麼小遊戲可以訓練？,精細動作,E 居家訓練,簡短追問,任務切換,期待,HYBRID,保留精細動作領域但轉向居家遊戲任務,Low,任務切換,OK,batch_S,gpt_initial_label,,,,,,,
generated_sessions,S0014,1,報告說小孩「感覺統合」有觸覺敏感的問題。,感覺統合,C 臨床觀察,正式,無,焦慮,REFRESH,建立感統及觸覺防禦檢索脈絡,Low,首輪開啟,OK,batch_S,gpt_initial_label,,,,,,,
generated_sessions,S0014,2,他不喜歡穿襪子、不喜歡標籤，就是因為這個嗎？,生活自理,C 臨床觀察,口語,行為連結,平穩,STAY,延續觸覺脈絡並對應生活行為特徵,Low,行為對應,domain_normalized:感覺統合->生活自理,batch_S,gpt_initial_label,,,,,,,
generated_sessions,S0014,3,那我們要強迫他適應嗎？,感覺統合,E 居家訓練,口語,策略詢問,焦慮,HYBRID,保留感統領域但切換至家教策略任務,Medium,處置方式追問,OK,batch_S,gpt_initial_label,,,,,,,
generated_sessions,S0015,1,關於「口語表達」，小孩目前只會說單字，這樣算落後多久？,口語表達,B 分數解讀,口語,無,焦慮,REFRESH,建立口語表達與發展月齡比對脈絡,Low,首輪開啟,OK,batch_S,gpt_initial_label,,,,,,,
generated_sessions,S0015,2,報告提到的「仿說能力」差是指什麼？,口語表達,B 分數解讀,正式,名詞解釋,困惑,STAY,延續口語表達領域並解釋特定評估指標,Low,細項名詞追問,OK,batch_S,gpt_initial_label,,,,,,,
generated_sessions,S0015,3,在家要怎麼教他說句子？,口語表達,E 居家訓練,口語,任務切換,期待,HYBRID,保留口語表達領域但轉向誘發策略建議,Medium,轉向居家誘發,OK,batch_S,gpt_initial_label,,,,,,,
generated_sessions,S0016,1,我看到報告裡「社交」這塊分數最低，我很擔心。,情緒行為與社會適應功能,A 報告總覽,口語,無,焦慮,REFRESH,建立社會適應領域概況脈絡,Low,首輪開啟,OK,batch_S,gpt_initial_label,,,,,,,
generated_sessions,S0016,2,他去幼兒園都不跟人打招呼怎麼辦？,情緒行為與社會適應功能,F 融入日常,口語,情境詢問,憂心,HYBRID,保留社會適應領域並連結校園生活情境,Medium,情境問題,OK,batch_S,gpt_initial_label,,,,,,,
generated_sessions,S0016,3,這跟他的認知功能也有關係嗎？,認知功能,D 能力剖面,口語,跨領域關聯,困惑,REFRESH,切換至認知領域並探討跨領域影響關聯,High,跨領域關聯分析,OK,batch_S,gpt_initial_label,,,,,,,
generated_sessions,S0017,1,我想請教「粗大動作」PR 2 是什麼意思？,粗大動作,B 分數解讀,正式,無,震驚,REFRESH,建立粗大動作與 PR 值百分等級脈絡,Low,分數解釋,OK,batch_S,gpt_initial_label,,,,,,,
generated_sessions,S0017,2,這是不是代表他完全不會動？,粗大動作,B 分數解讀,口語,極端推測,焦慮,STAY,延續分數脈絡並導正對 PR 值的誤解,Medium,澄清誤解,OK,batch_S,gpt_initial_label,,,,,,,
generated_sessions,S0017,3,那接下來要安排什麼樣的復健？,粗大動作,G 是否需要早療,簡短追問,後續安排,求助,HYBRID,保留粗大動作需求但切換至復健安排任務,Medium,轉向行動規劃,OK,batch_S,gpt_initial_label,,,,,,,
generated_sessions,S0018,1,老師，報告裡「認知功能」說他物件恆存觀念還沒建立。,認知功能,C 臨床觀察,正式,無,困惑,REFRESH,建立認知及物件恆存概念檢索脈絡,Medium,專業術語追問,OK,batch_S,gpt_initial_label,,,,,,,
generated_sessions,S0018,2,這個階段的小孩應該都要懂了嗎？,認知功能,D 能力剖面,口語,里程碑比對,平穩,STAY,延續認知發展脈絡並提供常模參考點,Low,發展階段確認,OK,batch_S,gpt_initial_label,,,,,,,
generated_sessions,S0018,3,那他在玩躲貓貓的時候都沒反應是正常的嗎？,認知功能,C 臨床觀察,口語,行為連結,憂心,STAY,延續認知脈絡並連結遊戲表現,Medium,行為驗證,OK,batch_S,gpt_initial_label,,,,,,,
generated_sessions,S0019,1,我想了解這份報告中的「口腔動作」評估。,口腔動作,A 報告總覽,正式,無,平穩,REFRESH,建立口腔動作領域檢索脈絡,Low,首輪開啟,OK,batch_S,gpt_initial_label,,,,,,,
generated_sessions,S0019,2,小朋友流口水很嚴重，這也是口腔問題嗎？,口腔動作,C 臨床觀察,口語,行為連結,困惑,STAY,延續口腔動作脈絡並分析流口水成因,Low,具體徵狀連結,OK,batch_S,gpt_initial_label,,,,,,,
generated_sessions,S0019,3,吹泡泡或是吸吸管會有幫助嗎？,口腔動作,E 居家訓練,口語,工具詢問,積極,HYBRID,保留口腔動作領域但切換至工具化訓練,Medium,訓練建議,OK,batch_S,gpt_initial_label,,,,,,,
generated_sessions,S0020,1,我看了報告，發現他在「生活自理」穿脫衣物這塊有困難。,生活自理,C 臨床觀察,口語,無,平穩,REFRESH,建立生活自理及穿脫衣技能脈絡,Low,首輪開啟,OK,batch_S,gpt_initial_label,,,,,,,
generated_sessions,S0020,2,那在學校午睡起床他怎麼辦？,生活自理,J 學校合作,口語,情境想像,焦慮,HYBRID,保留自理脈絡並延伸至校園適應問題,Medium,情境擴展,OK,batch_S,gpt_initial_label,,,,,,,
generated_sessions,S0020,3,老師會幫他嗎？,生活自理,J 學校合作,簡短追問,求助詢問,焦慮,STAY,延續校園合作脈絡討論溝通重點,Low,簡單追問,OK,batch_S,gpt_initial_label,,,,,,,
generated_sessions,S0021,1,關於「口語理解」，報告說他聽不懂複雜指令。,口語理解,C 臨床觀察,正式,無,平穩,REFRESH,建立口語理解與指令處理脈絡,Low,首輪開啟,OK,batch_S,gpt_initial_label,,,,,,,
generated_sessions,S0021,2,這會不會是因為他聽力有問題？,口語理解,C 臨床觀察,口語,成因推測,焦慮,STAY,延續理解脈絡並討論聽力篩檢的區別,Medium,排除生理因素,OK,batch_S,gpt_initial_label,,,,,,,
generated_sessions,S0021,3,跟他說話要怎麼講他才聽得懂？,口語表達,F 融入日常,口語,溝通技巧,積極,HYBRID,保留口語理解領域但轉向溝通技巧調整,Medium,溝通調整,domain_normalized:口語理解->口語表達,batch_S,gpt_initial_label,,,,,,,
generated_sessions,S0022,1,報告說小朋友有「感覺統合」的前庭覺尋求行為。,感覺統合,C 臨床觀察,正式,無,困惑,REFRESH,建立感統與前庭覺定義脈絡,Medium,術語解讀,OK,batch_S,gpt_initial_label,,,,,,,
generated_sessions,S0022,2,難怪他一直轉圈圈都不會暈。,感覺統合,C 臨床觀察,口語,行為驗證,驚訝,STAY,延續前庭覺脈絡對應個案特定行為,Low,行為連結,OK,batch_S,gpt_initial_label,,,,,,,
generated_sessions,S0022,3,這樣轉會有危險嗎？,感覺統合,F 融入日常,簡短追問,安全性詢問,焦慮,STAY,延續行為討論並提供安全指導,Medium,安全考量,OK,batch_S,gpt_initial_label,,,,,,,
generated_sessions,S0023,1,我想請教「精細動作」裡面的手眼協調部分。,精細動作,C 臨床觀察,正式,無,平穩,REFRESH,建立精細動作與手眼協調脈絡,Low,首輪開啟,OK,batch_S,gpt_initial_label,,,,,,,
generated_sessions,S0023,2,他在串珠珠的時候手會抖，這正常嗎？,精細動作,C 臨床觀察,口語,具體觀察報告,焦慮,STAY,延續協調脈絡並分析手部穩定性,Medium,細節觀察反饋,OK,batch_S,gpt_initial_label,,,,,,,
generated_sessions,S0023,3,有什麼推薦的玩具嗎？,精細動作,E 居家訓練,簡短追問,工具詢問,期待,HYBRID,保留精細動作領域但轉向教具推薦,Low,任務切換,OK,batch_S,gpt_initial_label,,,,,,,
generated_sessions,S0024,1,老師，報告的「認知功能」說他分類概念不足。,認知功能,C 臨床觀察,正式,無,困惑,REFRESH,建立認知領域及分類概念脈絡,Low,首輪開啟,OK,batch_S,gpt_initial_label,,,,,,,
generated_sessions,S0024,2,這是指形狀還是顏色？,認知功能,C 臨床觀察,簡短追問,細節釐清,平穩,STAY,延續認知分類脈絡並細分評估內容,Medium,細項澄清,OK,batch_S,gpt_initial_label,,,,,,,
generated_sessions,S0024,3,平常整理玩具的時候可以怎麼教？,認知功能,F 融入日常,口語,情境訓練,積極,HYBRID,保留認知領域但切換至日常情境教學,Medium,情境結合,OK,batch_S,gpt_initial_label,,,,,,,
generated_sessions,S0025,1,報告說小孩「口語表達」詞彙量過少。,口語表達,B 分數解讀,正式,無,焦慮,REFRESH,建立口語表達與詞彙量評估脈絡,Low,首輪開啟,OK,batch_S,gpt_initial_label,,,,,,,
generated_sessions,S0025,2,大概要會幾個詞才算正常？,口語表達,D 能力剖面,口語,常模查詢,期待,STAY,延續詞彙量話題並提供具體常模數字,Medium,常模比對,OK,batch_S,gpt_initial_label,,,,,,,
generated_sessions,S0025,3,我們每天讀繪本給他聽有用嗎？,口語表達,F 融入日常,口語,策略詢問,求助,HYBRID,保留口語表達領域並轉向居家共讀策略,Medium,策略探討,OK,batch_S,gpt_initial_label,,,,,,,
generated_sessions,S0026,1,我想問「粗大動作」的肌耐力不足問題。,粗大動作,C 臨床觀察,正式,無,平穩,REFRESH,建立粗大動作與肌耐力檢索脈絡,Low,首輪開啟,OK,batch_S,gpt_initial_label,,,,,,,
generated_sessions,S0026,2,他走沒幾步路就要抱，就是因為這個嗎？,粗大動作,C 臨床觀察,口語,行為連結,疲憊,STAY,延續肌耐力脈絡並解釋生活行為,Low,行為驗證,OK,batch_S,gpt_initial_label,,,,,,,
generated_sessions,S0026,3,那要帶他去游泳嗎？,粗大動作,E 居家訓練,口語,策略詢問,積極,HYBRID,保留粗大動作領域但切換至運動選擇建議,Medium,活動建議,OK,batch_S,gpt_initial_label,,,,,,,
generated_sessions,S0027,1,老師，報告提到「情緒行為」有固著性。,情緒行為與社會適應功能,C 臨床觀察,正式,無,困惑,REFRESH,建立情緒行為與固著性定義脈絡,Medium,術語解釋,OK,batch_S,gpt_initial_label,,,,,,,
generated_sessions,S0027,2,這是指他的生活規律不能改嗎？,情緒行為與社會適應功能,C 臨床觀察,口語,情境定義,焦慮,STAY,延續固著性脈絡並舉例生活情境,Medium,範疇界定,OK,batch_S,gpt_initial_label,,,,,,,
generated_sessions,S0027,3,如果突然改變計畫他大哭要怎麼安撫？,情緒行為與社會適應功能,E 居家訓練,口語,危機處理,焦慮,HYBRID,保留情緒行為領域但轉向應對策略任務,Medium,處置策略,OK,batch_S,gpt_initial_label,,,,,,,
generated_sessions,S0028,1,關於「吞嚥功能」，報告說他咀嚼力不夠。,吞嚥功能,C 臨床觀察,正式,無,憂心,REFRESH,建立吞嚥與咀嚼能力檢索脈絡,Low,首輪開啟,OK,batch_S,gpt_initial_label,,,,,,,
generated_sessions,S0028,2,所以他才不愛吃肉嗎？,吞嚥功能,C 臨床觀察,口語,行為連結,困惑,STAY,延續咀嚼話題並解釋偏食行為成因,Low,行為驗證,OK,batch_S,gpt_initial_label,,,,,,,
generated_sessions,S0028,3,要把食物剪得很碎嗎？,吞嚥功能,F 融入日常,口語,照護調整,期待,HYBRID,保留吞嚥領域但轉向飲食處理建議,Medium,照護建議,OK,batch_S,gpt_initial_label,,,,,,,
generated_sessions,S0029,1,我想知道「生活自理」PR 5 代表什麼層級？,生活自理,B 分數解讀,正式,無,震驚,REFRESH,建立生活自理與百分等級解讀脈絡,Low,分數解釋,OK,batch_S,gpt_initial_label,,,,,,,
generated_sessions,S0029,2,這會領到身心障礙手冊嗎？,整體概況,K 補助申請,口語,資格詢問,焦慮,REFRESH,切換至身障鑑定與行政補助任務脈絡,Medium,轉向行政資格,OK,batch_S,gpt_initial_label,,,,,,,
generated_sessions,S0029,3,申請流程怎麼跑？,粗大動作,K 補助申請,簡短追問,程序詢問,焦慮,STAY,延續補助申請脈絡並提供流程說明,Low,程序追問,domain_normalized:整體概況->粗大動作,batch_S,gpt_initial_label,,,,,,,
generated_sessions,S0030,1,報告說小孩「口語表達」有構音異常。,口語表達,C 臨床觀察,正式,無,困惑,REFRESH,建立口語表達與構音異常定義脈絡,Low,首輪開啟,OK,batch_S,gpt_initial_label,,,,,,,
generated_sessions,S0030,2,就是俗稱的「大舌頭」嗎？,口語表達,C 臨床觀察,口語,術語類比,平穩,STAY,延續構音脈絡並釐清民間俗稱與定義,Low,名詞澄清,OK,batch_S,gpt_initial_label,,,,,,,
generated_sessions,S0030,3,這要剪舌繫帶嗎？,口腔動作,G 是否需要早療,口語,醫療諮詢,焦慮,HYBRID,保留構音話題但轉向醫療介入處置諮詢,High,醫療迷思澄清,domain_normalized:口語表達->口腔動作,batch_S,gpt_initial_label,,,,,,,
generated_sessions,S0031,1,我看到「感覺統合」有重力不安全感。,感覺統合,C 臨床觀察,正式,無,困惑,REFRESH,建立感統與重力不安全感定義脈絡,Medium,專業術語,OK,batch_S,gpt_initial_label,,,,,,,
generated_sessions,S0031,2,難怪他不敢坐電扶梯。,感覺統合,C 臨床觀察,口語,行為連結,驚訝,STAY,延續重力感脈絡並對應生活恐懼行為,Low,行為連結,OK,batch_S,gpt_initial_label,,,,,,,
generated_sessions,S0031,3,我們要怎麼幫他練習克服？,感覺統合,E 居家訓練,簡短追問,策略詢問,期待,HYBRID,保留感統領域但轉向減敏訓練策略,Medium,任務切換,OK,batch_S,gpt_initial_label,,,,,,,
generated_sessions,S0032,1,老師，報告的「認知功能」提到專注力不足。,認知功能,C 臨床觀察,正式,無,憂心,REFRESH,建立認知與專注力評估脈絡,Low,首輪開啟,OK,batch_S,gpt_initial_label,,,,,,,
generated_sessions,S0032,2,這算是過動症(ADHD)嗎？,情緒行為與社會適應功能,C 臨床觀察,口語,診斷連結,焦慮,STAY,延續認知脈絡並釐清與 ADHD 的關聯,Medium,診斷界定,domain_normalized:認知功能->情緒行為與社會適應功能,batch_S,gpt_initial_label,,,,,,,
generated_sessions,S0032,3,學校老師說他坐不住怎麼辦？,情緒行為與社會適應功能,J 學校合作,口語,情境諮詢,求助,REFRESH,切換至校園環境適應與行為介入脈絡,Medium,情境切換,OK,batch_S,gpt_initial_label,,,,,,,
generated_sessions,S0033,1,我想了解「精細動作」中剪刀使用的部分。,精細動作,C 臨床觀察,口語,無,平穩,REFRESH,建立精細動作與工具操作脈絡,Low,首輪開啟,OK,batch_S,gpt_initial_label,,,,,,,
generated_sessions,S0033,2,他現在三歲，應該要會剪直線了嗎？,精細動作,D 能力剖面,口語,常模查詢,期待,STAY,延續精細動作脈絡並提供剪刀發展時程,Medium,常模比對,OK,batch_S,gpt_initial_label,,,,,,,
generated_sessions,S0033,3,有什麼安全的剪刀可以買？,精細動作,E 居家訓練,簡短追問,教具詢問,期待,HYBRID,保留精細動作領域但轉向教具選擇建議,Low,任務切換,OK,batch_S,gpt_initial_label,,,,,,,
generated_sessions,S0034,1,報告說「口語理解」有空間方位詞理解困難。,口語理解,C 臨床觀察,正式,無,困惑,REFRESH,建立語言理解與方位詞定義脈絡,Medium,細節解釋,OK,batch_S,gpt_initial_label,,,,,,,
generated_sessions,S0034,2,所以他分不清楚「上面」和「下面」嗎？,口語理解,C 臨床觀察,口語,具體釐清,平穩,STAY,延續方位詞脈絡並給予具體範例說明,Low,實例確認,OK,batch_S,gpt_initial_label,,,,,,,
generated_sessions,S0034,3,玩藏寶遊戲有幫助嗎？,口語理解,F 融入日常,口語,遊戲設計,積極,HYBRID,保留語言理解領域並切換至教學遊戲設計,Medium,任務切換,OK,batch_S,gpt_initial_label,,,,,,,
generated_sessions,S0035,1,關於「粗大動作」，報告寫說肌肉張力偏低。,粗大動作,C 臨床觀察,正式,無,焦慮,REFRESH,建立粗大動作與肌張力定義脈絡,Low,首輪開啟,OK,batch_S,gpt_initial_label,,,,,,,
generated_sessions,S0035,2,這會影響他走路的姿勢嗎？,粗大動作,C 臨床觀察,口語,因果追問,憂心,STAY,延續肌張力話題解釋步態特徵,Medium,深度追問,OK,batch_S,gpt_initial_label,,,,,,,
generated_sessions,S0035,3,物理治療要上多久才會有進步？,粗大動作,N 進步查詢,口語,時程詢問,急迫,HYBRID,保留粗大動作需求但切換至治療預後評估,High,預後評估,OK,batch_S,gpt_initial_label,,,,,,,
generated_sessions,S0036,1,老師，報告裡「社會適應」說他不太會輪流等待。,情緒行為與社會適應功能,C 臨床觀察,口語,無,困惑,REFRESH,建立社會適應與輪流概念脈絡,Low,首輪開啟,OK,batch_S,gpt_initial_label,,,,,,,
generated_sessions,S0036,2,跟別的小朋友搶玩具就是因為這樣？,情緒行為與社會適應功能,C 臨床觀察,口語,行為連結,焦慮,STAY,延續輪流話題並對應具體衝突行為,Low,行為連結,OK,batch_S,gpt_initial_label,,,,,,,
generated_sessions,S0036,3,在家可以怎麼練習「輪流」？,情緒行為與社會適應功能,E 居家訓練,口語,策略詢問,積極,HYBRID,保留社會適應領域並轉向居家演練建議,Medium,任務切換,OK,batch_S,gpt_initial_label,,,,,,,
generated_sessions,S0037,1,我想請教關於「口腔動作」的流口水問題。,口腔動作,C 臨床觀察,口語,無,憂心,REFRESH,建立口腔動作與分泌控制脈絡,Low,首輪開啟,OK,batch_S,gpt_initial_label,,,,,,,
generated_sessions,S0037,2,這會影響他以後說話的清晰度嗎？,口語表達,C 臨床觀察,口語,跨領域關聯,焦慮,REFRESH,切換至口語表達領域並探討口腔功能影響,Medium,跨領域聯想,OK,batch_S,gpt_initial_label,,,,,,,
